FISCAL_YEAR	ATS SYSTEM CODE	LOCATION_CODE	LOCATION_NAME	BEDS NUMBER	MANAGED_BY_NAME	LOCATION_TYPE_DESCRIPTION	LOCATION_CATEGORY_DESCRIPTION	GRADES_TEXT	GRADES_FINAL_TEXT	OPEN_DATE	STATUS_DESCRIPTIONS	PRIMARY_BUILDING_CODE	PRIMARY_ADDRESS_LINE_1	STATE_CODE	X_COORDINATE	Y_COORDINATE	COMMUNITY_DISTRICT	COUNCIL_DISTRICT	CENSUS_TRACT	BOROUGH_BLOCK_LOT	NTA	NTA_NAME	PRINCIPAL_NAME	PRINCIPAL_TITLE	PRINCIPAL_PHONE_NUMBER	FAX_NUMBER	GEOGRAPHICAL_DISTRICT_CODE	ADMIN_DISTRICT_LOCATION_CODE	ADMINISTRATIVE_DISTRICT_NAME	COMMUNITY_SCHOOL_SUP_NAME	FIELD_SUPPORT_CENTER_NAME	FIELD_SUPPORT_CENTER_LEADER_NAME	SCHOOL_SUPPORT_TEAM_NAME	SCHOOL_SUPPORT_TEAM_LEADER_NAME	HIGHSCHOOL_NETWORK_LOCATION_CODE	HIGHSCHOOL_NETWORK_NAME	HIGHSCHOOL_NETWORK_SUPERINTENDENT	Location 1
2018	10X696      	X696	High School of American Studies at Lehman College	321000011696	DOE	General Academic	High school	09,10,11,12	09,10,11,12	07/01/2002 12:00:00 AM	Open	X905	2925 GOULDEN AVENUE	NY	1013138	257981	208	11	40900	2032460002	BX28	Van Cortlandt Village                                                      	ALESSANDRO WEISS	PRINCIPAL	718-329-2144	718-329-0792	10	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 1- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"2925 GOULDEN AVENUE
BRONX, NY 10468
(40.874725, -73.895543)"
2018	11X016      	X016	P.S. 016 Wakefield	321100010016	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1909 12:00:00 AM	Open	X016	4550 CARPENTER AVENUE	NY	1024546	268048	212	11	41400	2050760031	BX62	Woodlawn-Wakefield                                                         	Eduardo Calderon	I.A. PRINCIPAL	718-324-1262	718-324-8370	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"4550 CARPENTER AVENUE
BRONX, NY 10470
(40.902311, -73.854231)"
2018	11X019      	X019	P.S. 019 Judith K. Weiss	321100010019	DOE	General Academic	K-8	0K,01,02,03,04,05,06,07,08,SE	0K,01,02,03,04,05,06,07,08	07/01/1925 12:00:00 AM	Open	X019	4318 KATONAH AVENUE	NY	1021032	266964	212	11	45102	2033860001	BX62	Woodlawn-Wakefield                                                         	TIMOTHY SULLIVAN	PRINCIPAL	718-324-1924	718-994-9132	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"4318 KATONAH AVENUE
BRONX, NY 10470
(40.899351, -73.866949)"
2018	11X021      	X021	P.S. 021 Philip H. Sheridan	321100010021	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1915 12:00:00 AM	Open	X021	715 EAST 225 STREET	NY	1023120	262791	212	12	40600	2048390039	BX44	Williamsbridge-Olinville                                                   	JOYCE COLEMAN	PRINCIPAL	718-652-3903	718-231-2556	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"715 EAST 225 STREET
BRONX, NY 10466
(40.887888, -73.85942)"
2018	11X041      	X041	P.S. 041 Gun Hill Road	321100010041	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1905 12:00:00 AM	Open	X041	3352 OLINVILLE AVENUE	NY	1020801	258002	212	12	37400	2046240015	BX44	Williamsbridge-Olinville                                                   	Erika Tobia	PRINCIPAL	718-652-3461	718-231-2668	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"3352 OLINVILLE AVENUE
BRONX, NY 10467
(40.874754, -73.867834)"
2018	11X068      	X068	P.S. 068 Bronx	321100010068	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,06,SE	PK,0K,01,02,03,04,05	07/01/1926 12:00:00 AM	Open	X068	4011 MONTICELLO AVENUE	NY	1028797	264154	212	12	42600	2049860081	BX62	Woodlawn-Wakefield                                                         	AIDIMARIS SOLER	I.A. PRINCIPAL	718-324-2854	718-324-3852	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"4011 MONTICELLO AVENUE
BRONX, NY 10466
(40.891603, -73.83888)"
2018	11X076      	X076	P.S. 076 The Bennington School	321100010076	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1932 12:00:00 AM	Open	X076	900 ADEE AVENUE	NY	1022714	255930	211	12	34200	2045520010	BX31	Allerton-Pelham Gardens                                                    	DARLENE TERON	Acting Principal	718-882-8865	718-882-8870	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"900 ADEE AVENUE
BRONX, NY 10469
(40.869059, -73.860928)"
2018	11X078      	X078	P.S. 078 Anne Hutchinson	321100010078	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1924 12:00:00 AM	Open	X078	1400 NEEDHAM AVENUE	NY	1025575	259365	212	12	38600	2047190001	BX03	Eastchester-Edenwald-Baychester                                            	CLAUDINA SKERRITT	PRINCIPAL	718-652-1244	718-231-2756	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"1400 NEEDHAM AVENUE
BRONX, NY 10469
(40.878474, -73.850563)"
2018	11X083      	X083	P.S. 083 Donald Hertz	321100010083	DOE	General Academic	K-8	0K,01,02,03,04,05,06,07,08,SE	0K,01,02,03,04,05,06,07,08	07/01/1925 12:00:00 AM	Open	X083	950 RHINELANDER AVENUE	NY	1023323	248687	211	13	24400	2041250001	BX37	Van Nest-Morris Park-Westchester Square                                    	Brandon Muccino	PRINCIPAL	718-863-1993	718-863-5525	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"950 RHINELANDER AVENUE
BRONX, NY 10462
(40.849176, -73.858769)"
2018	11X087      	X087	P.S. 087 Bronx	321100010087	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1931 12:00:00 AM	Open	X087	1935 BUSSING AVENUE	NY	1026771	265658	212	12	42800	2050180001	BX62	Woodlawn-Wakefield                                                         	DONNA ANAMAN	PRINCIPAL	718-324-5188	718-325-1148	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"1935 BUSSING AVENUE
BRONX, NY 10466
(40.895741, -73.846198)"
2018	11X089      	X089	P.S. 089 Bronx	321100010089	DOE	General Academic	K-8	PK,0K,01,02,03,04,05,06,07,08,SE	PK,0K,01,02,03,04,05,06,07,08	07/01/1927 12:00:00 AM	Open	X089	980 MACE AVENUE	NY	1023181	253534	211	13	32400	2044440016	BX07	Bronxdale                                                                  	RALPH MARTINEZ	PRINCIPAL	718-653-0835	718-231-2863	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"980 MACE AVENUE
BRONX, NY 10469
(40.862481, -73.859254)"
2018	11X096      	X096	P.S. 096 Richard Rodgers	321100010096	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1930 12:00:00 AM	Open	X096	2385 OLINVILLE AVENUE	NY	1020490	252892	211	15	33201	2043410013	BX07	Bronxdale                                                                  	MARTA GARCIA	PRINCIPAL	718-652-4959	718-231-2889	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"2385 OLINVILLE AVENUE
BRONX, NY 10467
(40.86073, -73.868986)"
2018	11X097      	X097	P.S. 097 Bronx	321100010097	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1931 12:00:00 AM	Open	X097	1375 MACE AVENUE	NY	1026634	253920	211	13	31400	2044740001	BX31	Allerton-Pelham Gardens                                                    	KATHELEEN BORNKAMP	PRINCIPAL	718-655-4446	718-655-6063	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"1375 MACE AVENUE
BRONX, NY 10469
(40.863524, -73.846768)"
2018	11X103      	X103	P.S. 103 Hector Fontanez	321100010103	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1932 12:00:00 AM	Open	X103	4125 CARPENTER AVENUE	NY	1022421	264360	212	12	42000	2048230001	BX44	Williamsbridge-Olinville                                                   	Farid Reyes	PRINCIPAL	718-655-0261	718-654-7930	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"4125 CARPENTER AVENUE
BRONX, NY 10466
(40.892198, -73.86194)"
2018	11X105      	X105	P.S. 105 Sen Abraham Bernstein	321100010105	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1930 12:00:00 AM	Open	X105	725 BRADY AVENUE	NY	1021247	250104	211	13	22404	2042880001	BX49	Pelham Parkway                                                             	CHRISTOPHE EUSTACE	PRINCIPAL	718-824-7350	718-828-4531	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"725 BRADY AVENUE
BRONX, NY 10462
(40.853075, -73.866264)"
2018	11X106      	X106	P.S. 106 Parkchester	321100010106	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1932 12:00:00 AM	Open	X106	1514 OLMSTEAD AVENUE	NY	1024422	244243	209	18	22200	2039460007	BX46	Parkchester                                                                	EUGENIA MONTALVO	PRINCIPAL	718-892-1006	718-823-8008	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"1514 OLMSTEAD AVENUE
BRONX, NY 10462
(40.836974, -73.854823)"
2018	11X108      	X108	P.S. 108 Philip J. Abinanti	321100010108	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1938 12:00:00 AM	Open	X108	1166 NEILL AVENUE	NY	1024957	250593	211	13	28800	2042750001	BX49	Pelham Parkway                                                             	CHARLES SPERRAZZA	PRINCIPAL	718-863-9829	718-828-1712	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"1166 NEILL AVENUE
BRONX, NY 10461
(40.8547, -73.8532)"
2018	11X111      	X111	P.S. 111 Seton Falls	321100010111	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1963 12:00:00 AM	Open	X111	3740 BAYCHESTER AVENUE	NY	1028689	261519	212	12	48400	2049160001	BX03	Eastchester-Edenwald-Baychester                                            	Celina Gutierrez	PRINCIPAL	718-881-2418	718-405-5927	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"3740 BAYCHESTER AVENUE
BRONX, NY 10466
(40.884371, -73.839288)"
2018	11X112      	X112	P.S. 112 Bronxwood	321100010112	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1953 12:00:00 AM	Open	X112	1925 SCHIEFFELIN AVENUE	NY	1027392	261724	212	12	45800	2049050500	BX03	Eastchester-Edenwald-Baychester                                            	ANDREA TUCCI	Acting Principal	718-654-6377	718-654-7931	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"1925 SCHIEFFELIN AVENUE
BRONX, NY 10466
(40.88494, -73.843977)"
2018	11X121      	X121	P.S. 121 Throop	321100010121	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/1953 12:00:00 AM	Open	X121	2750 THROOP AVENUE	NY	1025597	254993	211	13	34800	2045260001	BX31	Allerton-Pelham Gardens                                                    	Gloria Martinez	PRINCIPAL	718-654-2055	718-519-2613	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"2750 THROOP AVENUE
BRONX, NY 10469
(40.866474, -73.85051)"
2018	11X127      	X127	J.H.S. 127 The Castle Hill	321100010127	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08	07/01/1953 12:00:00 AM	Open	X127	1560 PURDY STREET	NY	1024869	244894	209	18	22200	2039480055	BX46	Parkchester                                                                	HARRY SHERMAN	PRINCIPAL	718-892-8600	718-892-8300	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"1560 PURDY STREET
BRONX, NY 10462
(40.838759, -73.853203)"
2018	11X144      	X144	J.H.S. 144 Michelangelo	321100010144	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08	07/01/1968 12:00:00 AM	Open	X144	2545 GUNTHER AVENUE	NY	1029467	254041	211	13	31000	2044930001	BX31	Allerton-Pelham Gardens                                                    	Ellen Barrett	PRINCIPAL	718-794-9749	718-794-9755	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"2545 GUNTHER AVENUE
BRONX, NY 10469
(40.863842, -73.836525)"
2018	11X153      	X153	P.S. 153 Helen Keller	321100010153	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1971 12:00:00 AM	Open	X153	650 BAYCHESTER AVENUE	NY	1030803	257757	210	12	46201	2051410150	BX13	Co-op City                                                                 	KELLEY, MEGHAN	PRINCIPAL	718-904-5550	718-904-5564	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"650 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
2018	11X160      	X160	P.S. 160 Walt Disney	321100010160	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,06,SE	0K,01,02,03,04,05	07/01/1972 12:00:00 AM	Open	X160	4140 HUTCHINSON RIVER PKWAY EA	NY	1032982	254132	210	12	30200	2051350200	BX13	Co-op City                                                                 	LORI BAKER	PRINCIPAL	718-822-8402	718-822-8146	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"4140 HUTCHINSON RIVER PKWAY EA
BRONX, NY 10475
(40.864073, -73.823816)"
2018	11X169      	X169	Baychester Academy	321100010169	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/2009 12:00:00 AM	Open	X169	3500 EDSON AVENUE	NY	1028664	260416	212	12	46000	2048940001	BX03	Eastchester-Edenwald-Baychester                                            	CRISTINE VAUGHAN	PRINCIPAL	718-325-1138	718-325-1558	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"3500 EDSON AVENUE
BRONX, NY 10466
(40.881344, -73.839386)"
2018	11X175      	X175	P.S. 175 City Island	321100010175	DOE	General Academic	K-8	0K,01,02,03,04,05,06,07,08,SE	0K,01,02,03,04,05,06,07,08	07/01/1975 12:00:00 AM	Open	X175	200 CITY ISLAND AVENUE	NY	1044140	246972	210	13	51600	2056410280	BX10	Pelham Bay-Country Club-City Island                                        	AMY LIPSON ELLIS	PRINCIPAL	718-885-1093	718-885-2315	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"200 CITY ISLAND AVENUE
BRONX, NY 10464
(40.844353, -73.78354)"
2018	11X178      	X178	P.S. 178 - Dr. Selman Waksman	321100010178	DOE	General Academic	Elementary	0K,01,02,03,04,05,SE	0K,01,02,03,04,05	07/01/1972 12:00:00 AM	Open	X178	850 BAYCHESTER AVENUE	NY	1030803	257757	210	12	46201	2051410150	BX13	Co-op City                                                                 	Deborah Levine	PRINCIPAL	718-904-5570	718-904-5575	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"850 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
2018	11X180      	X180	M.S. 180 Dr. Daniel Hale Williams	321100010180	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08	07/01/1972 12:00:00 AM	Open	X180	700 BAYCHESTER AVENUE	NY	1030803	257757	210	12	46201	2051410150	BX13	Co-op City                                                                 	MARLON WILLIAMS	I.A. PRINCIPAL	718-904-5650	718-904-5655	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"700 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
2018	11X181      	X181	I.S. 181 Pablo Casals	321100010181	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08	07/01/1972 12:00:00 AM	Open	X181	800 BAYCHESTER AVENUE	NY	1030803	257757	210	12	46201	2051410150	BX13	Co-op City                                                                 	CHRISTOPHE WARNOCK	PRINCIPAL	718-904-5600	718-904-5620	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"800 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
2018	11X189      	X189	Cornerstone Academy for Social Action	321100010189	DOE	General Academic	Elementary	PK,0K,01,02,03,04,05,SE	PK,0K,01,02,03,04,05	07/01/2007 12:00:00 AM	Open	X189	3441 STEENWICK AVENUE	NY	1031088	260943	212	12	46202	2052630192	BX13	Co-op City                                                                 	James Bellon	PRINCIPAL	718-794-6160	718-794-6170	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"3441 STEENWICK AVENUE
BRONX, NY 10475
(40.882778, -73.830616)"
2018	11X194      	X194	P.S./M.S. 194	321100010194	DOE	General Academic	K-8	0K,01,02,03,04,05,06,07,08,SE	0K,01,02,03,04,05,06,07,08	07/01/2003 12:00:00 AM	Open	X194	2365 WATERBURY AVENUE	NY	1026700	243677	210	18	9600	2038340070	BX59	Westchester-Unionport                                                      	Rosa Sifuentes-Rosado	PRINCIPAL	718-892-5270	718-892-2495	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 10- Bronx	NULL	NULL	NULL	NULL	"2365 WATERBURY AVENUE
BRONX, NY 10462
(40.83541, -73.846594)"
2018	11X249      	X249	Bronx Health Sciences High School	321100011249	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X455	750 BAYCHESTER AVENUE	NY	1030803	257757	210	12	46201	2051410150	BX13	Co-op City                                                                 	MIRIAM RIVAS	PRINCIPAL	718-904-5450	718-904-5451	11	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 2- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"750 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
2018	11X253      	X253	Bronx High School for Writing and Communication Ar	321100011253	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X425	800 EAST GUN HILL ROAD	NY	1022511	258157	212	12	37200	2046330040	BX44	Williamsbridge-Olinville                                                   	Terri Grey	PRINCIPAL	718-944-5660	718-944-5690	11	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 2- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
2018	11X265      	X265	Bronx Lab School	321100011265	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X425	800 EAST GUN HILL ROAD	NY	1022511	258157	212	12	37200	2046330040	BX44	Williamsbridge-Olinville                                                   	Sarah Marcy	PRINCIPAL	718-696-3700	718-696-3730	11	HS12	NULL	NULL	Affinity Group	ANORMALIZA, ALEXANDRA	School Support Team 5- Affinity Group	NULL	HS12	H.S. Network 12 Superintendent Office	PELLES, KATHY	"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
2018	11X270      	X270	Academy for Scholarship and Entrepreneurship: A Co	321100011270	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	07/01/2005 12:00:00 AM	Open	X362	921 EAST 228TH STREET	NY	1024974	262923	212	12	40400	2048640035	BX44	Williamsbridge-Olinville                                                   	ZENOBIA WHITE	PRINCIPAL	718-696-3840	718-696-3841	11	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 2- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"921 EAST 228TH STREET
BRONX, NY 10466
(40.888242, -73.852714)"
2018	11X275      	X275	High School of Computers and Technology	321100011275	DOE	Career Technical	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X425	800 EAST GUN HILL ROAD	NY	1022511	258157	212	12	37200	2046330040	BX44	Williamsbridge-Olinville                                                   	BRUCE ABRAMOWITZ	PRINCIPAL	718-696-3930	718-696-3950	11	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 2- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
2018	11X287      	X287	North Bronx School of Empowerment	321100010287	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08,SE	07/01/2005 12:00:00 AM	Open	X113	3710 BARNES AVENUE	NY	1022929	260153	212	12	39000	2046750020	BX44	Williamsbridge-Olinville                                                   	Magdalen Neyra	PRINCIPAL	718-652-0519	718-652-0428	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"3710 BARNES AVENUE
BRONX, NY 10467
(40.880649, -73.860126)"
2018	11X288      	X288	Collegiate Institute for Math and Science	321100011288	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X415	925 ASTOR AVENUE	NY	1022774	252791	211	13	32400	2043580001	BX07	Bronxdale                                                                  	Fredrick Nelson	PRINCIPAL	718-944-3635	718-652-3525	11	HS02	NULL	NULL	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 2- Bronx	NULL	HS02	H.S. Network 02 Superintendent Office	STAPLE, CARRON	"925 ASTOR AVENUE
BRONX, NY 10469
(40.860443, -73.860729)"
2018	11X290      	X290	Bronx Academy of Health Careers	321100011290	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X425	800 EAST GUN HILL ROAD	NY	1022511	258157	212	12	37200	2046330040	BX44	Williamsbridge-Olinville                                                   	Dawn Santiago	PRINCIPAL	718-696-3340	718-696-3380	11	HS08	NULL	NULL	Affinity Group	ANORMALIZA, ALEXANDRA	School Support Team 2- Affinity Group	NULL	HS08	H.S. Network 08 Superintendent Office	MENDEZ, JUAN	"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
2018	11X299      	X299	Astor Collegiate Academy	321100011299	DOE	General Academic	High school	09,10,11,12,SE	09,10,11,12	09/08/2004 12:00:00 AM	Open	X415	925 ASTOR AVENUE	NY	1022774	252791	211	13	32400	2043580001	BX07	Bronxdale                                                                  	Sandra Burgos	PRINCIPAL	718-944-3418	718-944-3638	11	HS08	NULL	NULL	Affinity Group	ANORMALIZA, ALEXANDRA	School Support Team 2- Affinity Group	NULL	HS08	H.S. Network 08 Superintendent Office	MENDEZ, JUAN	"925 ASTOR AVENUE
BRONX, NY 10469
(40.860443, -73.860729)"
2018	11X326      	X326	Bronx Green Middle School	321100010326	DOE	General Academic	Junior High-Intermediate-Middle	06,07,08,SE	06,07,08	07/01/2006 12:00:00 AM	Open	X135	2441 WALLACE AVENUE	NY	1021584	253392	211	13	33000	2044320001	BX07	Bronxdale                                                                  	Charles Johnson	PRINCIPAL	718-325-6593	718-653-3625	11	X10C	COMMUNITY SCHOOL DISTRICT 11	ROSS PORTER, MEISHA	Field Support Center - Bronx	RUIZ, JOSE	School Support Team 9- Bronx	NULL	NULL	NULL	NULL	"2441 WALLACE AVENUE
BRONX, NY 10467
(40.862098, -73.865028)"
